lands_in_deck,drs_in_deck,targets_in_deck,creatures_in_deck,blanks_in_deck,win_%,fail_%,avg_creatures_in_gy
1,1,1,17,0,0.00,100.00,0.00
1,1,1,17,1,0.00,100.00,0.00
1,1,1,17,2,0.00,100.00,0.00
1,1,1,17,3,0.00,100.00,0.00
1,1,1,17,4,0.00,100.00,0.00
1,1,1,17,5,0.00,100.00,0.00
1,1,1,17,6,0.00,100.00,0.00
1,1,1,17,7,0.00,100.00,0.00
1,1,1,17,8,0.00,100.00,0.00
1,1,1,17,9,0.00,100.00,0.00
1,1,1,17,10,0.00,100.00,0.00
1,1,1,17,11,0.00,100.00,0.00
1,1,1,17,12,0.00,100.00,0.00
1,1,1,17,13,0.00,100.00,0.00
1,1,1,17,14,0.00,100.00,0.00
1,1,1,17,15,0.00,100.00,0.00
1,1,1,18,0,0.00,100.00,0.00
1,1,1,18,1,0.00,100.00,0.00
1,1,1,18,2,0.00,100.00,0.00
1,1,1,18,3,0.00,100.00,0.00
1,1,1,18,4,0.00,100.00,0.00
1,1,1,18,5,0.00,100.00,0.00
1,1,1,18,6,0.00,100.00,0.00
1,1,1,18,7,0.00,100.00,0.00
1,1,1,18,8,0.00,100.00,0.00
1,1,1,18,9,0.00,100.00,0.00
1,1,1,18,10,0.00,100.00,0.00
1,1,1,18,11,0.00,100.00,0.00
1,1,1,18,12,0.00,100.00,0.00
1,1,1,18,13,0.00,100.00,0.00
1,1,1,18,14,0.00,100.00,0.00
1,1,1,18,15,0.00,100.00,0.00
1,1,1,19,0,0.00,100.00,0.00
1,1,1,19,1,0.00,100.00,0.00
1,1,1,19,2,0.00,100.00,0.00
1,1,1,19,3,0.00,100.00,0.00
1,1,1,19,4,0.00,100.00,0.00
1,1,1,19,5,0.00,100.00,0.00
1,1,1,19,6,0.00,100.00,0.00
1,1,1,19,7,0.00,100.00,0.00
1,1,1,19,8,0.00,100.00,0.00
1,1,1,19,9,0.00,100.00,0.00
1,1,1,19,10,0.00,100.00,0.00
1,1,1,19,11,0.00,100.00,0.00
1,1,1,19,12,0.00,100.00,0.00
1,1,1,19,13,0.00,100.00,0.00
1,1,1,19,14,0.00,100.00,0.00
1,1,1,19,15,0.00,100.00,0.00
1,1,1,20,0,0.00,100.00,0.00
1,1,1,20,1,0.00,100.00,0.00
1,1,1,20,2,0.00,100.00,0.00
1,1,1,20,3,0.00,100.00,0.00
1,1,1,20,4,0.00,100.00,0.00
1,1,1,20,5,0.00,100.00,0.00
1,1,1,20,6,0.00,100.00,0.00
1,1,1,20,7,0.00,100.00,0.00
1,1,1,20,8,0.00,100.00,0.00
1,1,1,20,9,0.00,100.00,0.00
1,1,1,20,10,0.00,100.00,0.00
1,1,1,20,11,0.00,100.00,0.00
1,1,1,20,12,0.00,100.00,0.00
1,1,1,20,13,0.00,100.00,0.00
1,1,1,20,14,0.00,100.00,0.00
1,1,1,20,15,0.00,100.00,0.00
1,1,1,21,0,0.00,100.00,0.00
1,1,1,21,1,0.00,100.00,0.00
1,1,1,21,2,0.00,100.00,0.00
1,1,1,21,3,0.00,100.00,0.00
1,1,1,21,4,0.00,100.00,0.00
1,1,1,21,5,0.00,100.00,0.00
1,1,1,21,6,0.00,100.00,0.00
1,1,1,21,7,0.00,100.00,0.00
1,1,1,21,8,0.00,100.00,0.00
1,1,1,21,9,0.00,100.00,0.00
1,1,1,21,10,0.00,100.00,0.00
1,1,1,21,11,0.00,100.00,0.00
1,1,1,21,12,0.00,100.00,0.00
1,1,1,21,13,0.00,100.00,0.00
1,1,1,21,14,0.00,100.00,0.00
1,1,1,21,15,0.00,100.00,0.00
1,1,1,22,0,0.00,100.00,0.00
1,1,1,22,1,0.00,100.00,0.00
1,1,1,22,2,0.00,100.00,0.00
1,1,1,22,3,0.00,100.00,0.00
1,1,1,22,4,0.00,100.00,0.00
1,1,1,22,5,0.00,100.00,0.00
1,1,1,22,6,0.00,100.00,0.00
1,1,1,22,7,0.00,100.00,0.00
1,1,1,22,8,0.00,100.00,0.00
1,1,1,22,9,0.00,100.00,0.00
1,1,1,22,10,0.00,100.00,0.00
1,1,1,22,11,0.00,100.00,0.00
1,1,1,22,12,0.00,100.00,0.00
1,1,1,22,13,0.00,100.00,0.00
1,1,1,22,14,0.00,100.00,0.00
1,1,1,22,15,0.00,100.00,0.00
1,1,1,23,0,0.00,100.00,0.00
1,1,1,23,1,0.00,100.00,0.00
1,1,1,23,2,0.00,100.00,0.00
1,1,1,23,3,0.00,100.00,0.00
1,1,1,23,4,0.00,100.00,0.00
1,1,1,23,5,0.00,100.00,0.00
1,1,1,23,6,0.00,100.00,0.00
1,1,1,23,7,0.00,100.00,0.00
1,1,1,23,8,0.00,100.00,0.00
1,1,1,23,9,0.00,100.00,0.00
1,1,1,23,10,0.00,100.00,0.00
1,1,1,23,11,0.00,100.00,0.00
1,1,1,23,12,0.00,100.00,0.00
1,1,1,23,13,0.00,100.00,0.00
1,1,1,23,14,0.00,100.00,0.00
1,1,1,23,15,0.00,100.00,0.00
1,1,1,24,0,0.00,100.00,0.00
1,1,1,24,1,0.00,100.00,0.00
1,1,1,24,2,0.00,100.00,0.00
1,1,1,24,3,0.00,100.00,0.00
1,1,1,24,4,0.00,100.00,0.00
1,1,1,24,5,0.00,100.00,0.00
1,1,1,24,6,0.00,100.00,0.00
1,1,1,24,7,0.00,100.00,0.00
1,1,1,24,8,0.00,100.00,0.00
1,1,1,24,9,0.00,100.00,0.00
1,1,1,24,10,0.00,100.00,0.00
1,1,1,24,11,0.00,100.00,0.00
1,1,1,24,12,0.00,100.00,0.00
1,1,1,24,13,0.00,100.00,0.00
1,1,1,24,14,0.00,100.00,0.00
1,1,1,24,15,0.00,100.00,0.00
1,1,1,25,0,0.00,100.00,0.00
1,1,1,25,1,0.00,100.00,0.00
1,1,1,25,2,0.00,100.00,0.00
1,1,1,25,3,0.00,100.00,0.00
1,1,1,25,4,0.00,100.00,0.00
1,1,1,25,5,0.00,100.00,0.00
1,1,1,25,6,0.00,100.00,0.00
1,1,1,25,7,0.00,100.00,0.00
1,1,1,25,8,0.00,100.00,0.00
1,1,1,25,9,0.00,100.00,0.00
1,1,1,25,10,0.00,100.00,0.00
1,1,1,25,11,0.00,100.00,0.00
1,1,1,25,12,0.00,100.00,0.00
1,1,1,25,13,0.00,100.00,0.00
1,1,1,25,14,0.00,100.00,0.00
1,1,1,25,15,0.00,100.00,0.00
1,1,1,26,0,3.44,96.56,26.00
1,1,1,26,1,3.46,96.54,26.00
1,1,1,26,2,3.48,96.52,26.00
1,1,1,26,3,3.43,96.57,26.00
1,1,1,26,4,3.41,96.59,26.00
1,1,1,26,5,3.44,96.56,26.00
1,1,1,26,6,3.46,96.54,26.00
1,1,1,26,7,3.45,96.55,26.00
1,1,1,26,8,3.45,96.55,26.00
1,1,1,26,9,3.48,96.52,26.00
1,1,1,26,10,3.43,96.57,26.00
1,1,1,26,11,3.44,96.56,26.00
1,1,1,26,12,3.45,96.55,26.00
1,1,1,26,13,3.46,96.54,26.00
1,1,1,26,14,3.43,96.57,26.00
1,1,1,26,15,3.42,96.58,26.00
1,1,1,27,0,6.46,93.54,26.52
1,1,1,27,1,6.43,93.57,26.52
1,1,1,27,2,6.44,93.56,26.52
1,1,1,27,3,6.42,93.58,26.52
1,1,1,27,4,6.42,93.58,26.52
1,1,1,27,5,6.43,93.57,26.52
1,1,1,27,6,6.43,93.57,26.52
1,1,1,27,7,6.39,93.61,26.52
1,1,1,27,8,6.47,93.53,26.52
1,1,1,27,9,6.43,93.57,26.52
1,1,1,27,10,6.45,93.55,26.52
1,1,1,27,11,6.41,93.59,26.52
1,1,1,27,12,6.46,93.54,26.52
1,1,1,27,13,6.44,93.56,26.52
1,1,1,27,14,6.45,93.55,26.52
1,1,1,27,15,6.44,93.56,26.52
1,1,1,28,0,9.06,90.94,27.05
1,1,1,28,1,9.02,90.98,27.04
1,1,1,28,2,9.03,90.97,27.05
1,1,1,28,3,9.08,90.92,27.05
1,1,1,28,4,9.04,90.96,27.05
1,1,1,28,5,9.08,90.92,27.05
1,1,1,28,6,9.02,90.98,27.05
1,1,1,28,7,9.09,90.91,27.05
1,1,1,28,8,8.98,91.02,27.05
1,1,1,28,9,9.03,90.97,27.04
1,1,1,28,10,9.10,90.90,27.05
1,1,1,28,11,9.08,90.92,27.05
1,1,1,28,12,9.02,90.98,27.05
1,1,1,28,13,9.05,90.95,27.05
1,1,1,28,14,9.05,90.95,27.05
1,1,1,28,15,9.10,90.90,27.04
1,1,1,29,0,11.39,88.61,27.58
1,1,1,29,1,11.30,88.70,27.59
1,1,1,29,2,11.35,88.65,27.59
1,1,1,29,3,11.34,88.66,27.59
1,1,1,29,4,11.32,88.68,27.58
1,1,1,29,5,11.31,88.69,27.59
1,1,1,29,6,11.24,88.76,27.58
1,1,1,29,7,11.33,88.67,27.59
1,1,1,29,8,11.33,88.67,27.58
1,1,1,29,9,11.29,88.71,27.59
1,1,1,29,10,11.35,88.65,27.58
1,1,1,29,11,11.36,88.64,27.58
1,1,1,29,12,11.32,88.68,27.58
1,1,1,29,13,11.28,88.72,27.59
1,1,1,29,14,11.30,88.70,27.59
1,1,1,29,15,11.36,88.64,27.59
1,1,1,30,0,13.31,86.69,28.14
1,1,1,30,1,13.32,86.68,28.14
1,1,1,30,2,13.29,86.71,28.14
1,1,1,30,3,13.33,86.67,28.13
