lands_in_deck,drs_in_deck,targets_in_deck,creatures_in_deck,blanks_in_deck,win_%,fail_%,avg_creatures_in_gy
1,1,1,17,0,32.72,67.28,12.93
1,1,1,17,1,32.80,67.20,12.94
1,1,1,17,2,32.75,67.25,12.94
1,1,1,17,3,32.68,67.32,12.93
1,1,1,17,4,32.77,67.23,12.94
1,1,1,17,5,32.69,67.31,12.94
1,1,1,17,6,32.72,67.28,12.93
1,1,1,17,7,32.73,67.27,12.94
1,1,1,17,8,32.75,67.25,12.94
1,1,1,17,9,32.67,67.33,12.94
1,1,1,17,10,32.73,67.27,12.94
1,1,1,17,11,32.74,67.26,12.94
1,1,1,17,12,32.73,67.27,12.94
1,1,1,17,13,32.80,67.20,12.94
1,1,1,17,14,32.88,67.12,12.93
1,1,1,17,15,32.73,67.27,12.92
1,1,1,18,0,32.81,67.19,13.68
1,1,1,18,1,32.81,67.19,13.68
1,1,1,18,2,32.88,67.12,13.68
1,1,1,18,3,32.88,67.12,13.66
1,1,1,18,4,32.78,67.22,13.66
1,1,1,18,5,32.82,67.18,13.68
1,1,1,18,6,32.91,67.09,13.67
1,1,1,18,7,32.82,67.18,13.67
1,1,1,18,8,32.80,67.20,13.67
1,1,1,18,9,32.88,67.12,13.66
1,1,1,18,10,32.84,67.16,13.68
1,1,1,18,11,32.86,67.14,13.67
1,1,1,18,12,32.83,67.17,13.67
1,1,1,18,13,32.80,67.20,13.67
1,1,1,18,14,32.84,67.16,13.67
1,1,1,18,15,32.87,67.13,13.68
1,1,1,19,0,32.86,67.14,14.40
1,1,1,19,1,33.00,67.00,14.42
1,1,1,19,2,32.98,67.02,14.40
1,1,1,19,3,32.90,67.10,14.40
1,1,1,19,4,32.88,67.12,14.41
1,1,1,19,5,32.86,67.14,14.41
1,1,1,19,6,32.99,67.01,14.40
1,1,1,19,7,32.92,67.08,14.40
1,1,1,19,8,32.93,67.07,14.41
1,1,1,19,9,32.92,67.08,14.41
1,1,1,19,10,32.95,67.05,14.41
1,1,1,19,11,32.87,67.13,14.40
1,1,1,19,12,32.93,67.07,14.41
1,1,1,19,13,32.88,67.12,14.40
1,1,1,19,14,33.07,66.93,14.41
1,1,1,19,15,32.94,67.06,14.41
1,1,1,20,0,32.98,67.02,15.14
1,1,1,20,1,32.98,67.02,15.14
1,1,1,20,2,33.01,66.99,15.15
1,1,1,20,3,32.99,67.01,15.15
1,1,1,20,4,32.95,67.05,15.14
1,1,1,20,5,32.98,67.02,15.14
1,1,1,20,6,32.89,67.11,15.14
1,1,1,20,7,32.96,67.04,15.14
1,1,1,20,8,33.02,66.98,15.15
1,1,1,20,9,32.97,67.03,15.14
1,1,1,20,10,32.97,67.03,15.14
1,1,1,20,11,32.91,67.09,15.15
1,1,1,20,12,32.96,67.04,15.16
1,1,1,20,13,32.94,67.06,15.15
1,1,1,20,14,32.96,67.04,15.14
1,1,1,20,15,32.93,67.07,15.15
1,1,1,21,0,33.02,66.98,15.86
1,1,1,21,1,33.07,66.93,15.89
1,1,1,21,2,33.05,66.95,15.88
1,1,1,21,3,33.13,66.87,15.89
1,1,1,21,4,33.01,66.99,15.89
1,1,1,21,5,33.04,66.96,15.89
1,1,1,21,6,32.92,67.08,15.89
1,1,1,21,7,32.99,67.01,15.89
1,1,1,21,8,32.99,67.01,15.89
1,1,1,21,9,33.01,66.99,15.90
1,1,1,21,10,33.00,67.00,15.89
1,1,1,21,11,33.03,66.97,15.90
1,1,1,21,12,33.00,67.00,15.87
1,1,1,21,13,32.98,67.02,15.88
1,1,1,21,14,32.99,67.01,15.89
1,1,1,21,15,32.96,67.04,15.89
1,1,1,22,0,33.03,66.97,16.63
1,1,1,22,1,32.92,67.08,16.62
1,1,1,22,2,33.06,66.94,16.63
1,1,1,22,3,33.08,66.92,16.63
1,1,1,22,4,33.16,66.84,16.62
1,1,1,22,5,33.03,66.97,16.62
1,1,1,22,6,32.99,67.01,16.61
1,1,1,22,7,33.11,66.89,16.62
1,1,1,22,8,33.08,66.92,16.64
1,1,1,22,9,33.06,66.94,16.62
1,1,1,22,10,33.04,66.96,16.62
1,1,1,22,11,33.05,66.95,16.63
1,1,1,22,12,33.09,66.91,16.63
1,1,1,22,13,33.01,66.99,16.64
1,1,1,22,14,33.02,66.98,16.62
1,1,1,22,15,32.99,67.01,16.63
1,1,1,23,0,33.11,66.89,17.38
1,1,1,23,1,33.05,66.95,17.37
1,1,1,23,2,33.10,66.90,17.37
1,1,1,23,3,33.04,66.96,17.35
1,1,1,23,4,33.10,66.90,17.36
1,1,1,23,5,33.14,66.86,17.36
1,1,1,23,6,33.15,66.85,17.38
1,1,1,23,7,33.09,66.91,17.37
1,1,1,23,8,33.06,66.94,17.37
1,1,1,23,9,33.14,66.86,17.36
1,1,1,23,10,33.01,66.99,17.35
1,1,1,23,11,33.16,66.84,17.39
1,1,1,23,12,33.05,66.95,17.36
1,1,1,23,13,33.06,66.94,17.37
1,1,1,23,14,33.06,66.94,17.36
1,1,1,23,15,33.06,66.94,17.37
1,1,1,24,0,33.03,66.97,18.12
1,1,1,24,1,33.16,66.84,18.10
1,1,1,24,2,33.06,66.94,18.11
1,1,1,24,3,33.15,66.85,18.10
1,1,1,24,4,33.12,66.88,18.10
1,1,1,24,5,33.07,66.93,18.11
1,1,1,24,6,33.11,66.89,18.11
1,1,1,24,7,33.03,66.97,18.11
1,1,1,24,8,33.19,66.81,18.12
1,1,1,24,9,33.08,66.92,18.12
1,1,1,24,10,33.13,66.87,18.12
1,1,1,24,11,33.02,66.98,18.12
1,1,1,24,12,33.12,66.88,18.11
1,1,1,24,13,33.05,66.95,18.10
1,1,1,24,14,33.14,66.86,18.10
1,1,1,24,15,33.09,66.91,18.10
1,1,1,25,0,33.15,66.85,18.85
1,1,1,25,1,33.11,66.89,18.85
1,1,1,25,2,33.13,66.87,18.85
1,1,1,25,3,33.11,66.89,18.85
1,1,1,25,4,33.11,66.89,18.84
1,1,1,25,5,33.07,66.93,18.85
1,1,1,25,6,33.04,66.96,18.85
1,1,1,25,7,33.04,66.96,18.85
1,1,1,25,8,33.15,66.85,18.84
1,1,1,25,9,33.11,66.89,18.86
1,1,1,25,10,33.07,66.93,18.86
1,1,1,25,11,33.16,66.84,18.87
1,1,1,25,12,33.06,66.94,18.84
1,1,1,25,13,33.04,66.96,18.87
1,1,1,25,14,33.13,66.87,18.84
1,1,1,25,15,33.18,66.82,18.84
1,1,1,26,0,32.99,67.01,19.58
1,1,1,26,1,33.13,66.87,19.59
1,1,1,26,2,33.10,66.90,19.59
1,1,1,26,3,33.15,66.85,19.59
1,1,1,26,4,33.16,66.84,19.60
1,1,1,26,5,33.18,66.82,19.60
1,1,1,26,6,33.07,66.93,19.60
1,1,1,26,7,33.14,66.86,19.60
1,1,1,26,8,33.23,66.77,19.59
1,1,1,26,9,33.18,66.82,19.60
1,1,1,26,10,33.05,66.95,19.59
1,1,1,26,11,33.24,66.75,19.62
1,1,1,26,12,33.19,66.81,19.61
1,1,1,26,13,33.14,66.86,19.59
1,1,1,26,14,33.17,66.83,19.59
1,1,1,26,15,33.24,66.76,19.60
1,1,1,27,0,33.10,66.90,20.34
1,1,1,27,1,33.18,66.82,20.34
