lands_in_deck,drs_in_deck,targets_in_deck,creatures_in_deck,blanks_in_deck,win_%,fail_%,avg_creatures_in_gy
1,1,1,17,0,32.26,67.74,13.07
1,1,1,17,1,32.27,67.73,13.06
1,1,1,17,2,32.37,67.63,13.06
1,1,1,17,3,32.28,67.72,13.06
1,1,1,17,4,32.29,67.71,13.05
1,1,1,17,5,32.25,67.75,13.05
1,1,1,17,6,32.31,67.69,13.06
1,1,1,17,7,32.29,67.71,13.06
1,1,1,17,8,32.23,67.77,13.06
1,1,1,17,9,32.31,67.69,13.06
1,1,1,17,10,32.33,67.67,13.06
1,1,1,17,11,32.36,67.64,13.05
1,1,1,17,12,32.32,67.68,13.07
1,1,1,17,13,32.30,67.70,13.06
1,1,1,17,14,32.25,67.75,13.05
1,1,1,17,15,32.29,67.71,13.06
1,1,1,18,0,32.42,67.58,13.79
1,1,1,18,1,32.42,67.58,13.79
1,1,1,18,2,32.51,67.49,13.79
1,1,1,18,3,32.45,67.55,13.78
1,1,1,18,4,32.45,67.55,13.78
1,1,1,18,5,32.45,67.55,13.78
1,1,1,18,6,32.44,67.56,13.79
1,1,1,18,7,32.46,67.54,13.79
1,1,1,18,8,32.45,67.55,13.78
1,1,1,18,9,32.49,67.51,13.78
1,1,1,18,10,32.41,67.59,13.80
1,1,1,18,11,32.42,67.58,13.78
1,1,1,18,12,32.49,67.51,13.79
1,1,1,18,13,32.48,67.52,13.79
1,1,1,18,14,32.51,67.49,13.78
1,1,1,18,15,32.45,67.55,13.78
1,1,1,19,0,32.59,67.41,14.51
1,1,1,19,1,32.53,67.47,14.52
1,1,1,19,2,32.64,67.36,14.50
1,1,1,19,3,32.59,67.41,14.52
1,1,1,19,4,32.54,67.46,14.51
1,1,1,19,5,32.60,67.40,14.51
1,1,1,19,6,32.58,67.42,14.52
1,1,1,19,7,32.56,67.44,14.52
1,1,1,19,8,32.53,67.47,14.51
1,1,1,19,9,32.63,67.37,14.50
1,1,1,19,10,32.50,67.50,14.52
1,1,1,19,11,32.63,67.37,14.51
1,1,1,19,12,32.54,67.46,14.52
1,1,1,19,13,32.65,67.35,14.51
1,1,1,19,14,32.54,67.46,14.51
1,1,1,19,15,32.58,67.42,14.51
1,1,1,20,0,32.72,67.28,15.24
1,1,1,20,1,32.73,67.27,15.24
1,1,1,20,2,32.67,67.33,15.24
1,1,1,20,3,32.60,67.40,15.23
1,1,1,20,4,32.65,67.35,15.23
1,1,1,20,5,32.72,67.28,15.24
1,1,1,20,6,32.66,67.34,15.24
1,1,1,20,7,32.72,67.28,15.24
1,1,1,20,8,32.69,67.31,15.24
1,1,1,20,9,32.66,67.34,15.25
1,1,1,20,10,32.65,67.35,15.24
1,1,1,20,11,32.77,67.23,15.24
1,1,1,20,12,32.61,67.39,15.25
1,1,1,20,13,32.67,67.33,15.24
1,1,1,20,14,32.66,67.34,15.25
1,1,1,20,15,32.66,67.34,15.25
1,1,1,21,0,32.78,67.22,15.98
1,1,1,21,1,32.81,67.19,15.96
1,1,1,21,2,32.77,67.22,15.97
1,1,1,21,3,32.65,67.35,15.97
1,1,1,21,4,32.73,67.27,15.98
1,1,1,21,5,32.72,67.28,15.98
1,1,1,21,6,32.76,67.24,15.97
1,1,1,21,7,32.70,67.30,15.97
1,1,1,21,8,32.75,67.25,15.97
1,1,1,21,9,32.74,67.26,15.97
1,1,1,21,10,32.79,67.21,15.98
1,1,1,21,11,32.77,67.23,15.99
