lands_in_deck,drs_in_deck,targets_in_deck,creatures_in_deck,blanks_in_deck,win_%,fail_%,avg_creatures_in_gy
1,1,1,17,0,0.00,100.00,0.00
1,1,1,17,1,0.00,100.00,0.00
1,1,1,17,2,0.00,100.00,0.00
1,1,1,17,3,0.00,100.00,0.00
1,1,1,17,4,0.00,100.00,0.00
1,1,1,17,5,0.00,100.00,0.00
1,1,1,17,6,0.00,100.00,0.00
1,1,1,17,7,0.00,100.00,0.00
1,1,1,17,8,0.00,100.00,0.00
1,1,1,17,9,0.00,100.00,0.00
1,1,1,17,10,0.00,100.00,0.00
1,1,1,17,11,0.00,100.00,0.00
1,1,1,17,12,0.00,100.00,0.00
1,1,1,17,13,0.00,100.00,0.00
1,1,1,17,14,0.00,100.00,0.00
1,1,1,17,15,0.00,100.00,0.00
1,1,1,18,0,0.00,100.00,0.00
1,1,1,18,1,0.00,100.00,0.00
1,1,1,18,2,0.00,100.00,0.00
1,1,1,18,3,0.00,100.00,0.00
1,1,1,18,4,0.00,100.00,0.00
1,1,1,18,5,0.00,100.00,0.00
1,1,1,18,6,0.00,100.00,0.00
1,1,1,18,7,0.00,100.00,0.00
1,1,1,18,8,0.00,100.00,0.00
1,1,1,18,9,0.00,100.00,0.00
1,1,1,18,10,0.00,100.00,0.00
1,1,1,18,11,0.00,100.00,0.00
1,1,1,18,12,0.00,100.00,0.00
1,1,1,18,13,0.00,100.00,0.00
1,1,1,18,14,0.00,100.00,0.00
1,1,1,18,15,0.00,100.00,0.00
1,1,1,19,0,0.00,100.00,0.00
1,1,1,19,1,0.00,100.00,0.00
1,1,1,19,2,0.00,100.00,0.00
1,1,1,19,3,0.00,100.00,0.00
1,1,1,19,4,0.00,100.00,0.00
1,1,1,19,5,0.00,100.00,0.00
1,1,1,19,6,0.00,100.00,0.00
1,1,1,19,7,0.00,100.00,0.00
1,1,1,19,8,0.00,100.00,0.00
1,1,1,19,9,0.00,100.00,0.00
1,1,1,19,10,0.00,100.00,0.00
1,1,1,19,11,0.00,100.00,0.00
1,1,1,19,12,0.00,100.00,0.00
1,1,1,19,13,0.00,100.00,0.00
1,1,1,19,14,0.00,100.00,0.00
1,1,1,19,15,0.00,100.00,0.00
1,1,1,20,0,4.32,95.68,20.00
1,1,1,20,1,4.34,95.66,20.00
1,1,1,20,2,4.35,95.65,20.00
1,1,1,20,3,4.37,95.63,20.00
1,1,1,20,4,4.37,95.63,20.00
1,1,1,20,5,4.35,95.65,20.00
1,1,1,20,6,4.35,95.65,20.00
1,1,1,20,7,4.35,95.65,20.00
1,1,1,20,8,4.33,95.67,20.00
1,1,1,20,9,4.34,95.66,20.00
1,1,1,20,10,4.33,95.67,20.00
1,1,1,20,11,4.39,95.61,20.00
1,1,1,20,12,4.32,95.68,20.00
1,1,1,20,13,4.33,95.67,20.00
1,1,1,20,14,4.35,95.65,20.00
1,1,1,20,15,4.37,95.63,20.00
1,1,1,21,0,7.97,92.03,20.52
1,1,1,21,1,7.99,92.01,20.52
1,1,1,21,2,7.96,92.04,20.52
1,1,1,21,3,7.98,92.02,20.53
1,1,1,21,4,7.93,92.07,20.52
1,1,1,21,5,7.96,92.04,20.52
1,1,1,21,6,7.94,92.06,20.52
1,1,1,21,7,7.92,92.08,20.52
1,1,1,21,8,7.96,92.04,20.52
1,1,1,21,9,7.98,92.02,20.52
1,1,1,21,10,7.98,92.02,20.52
1,1,1,21,11,7.95,92.05,20.53
1,1,1,21,12,7.92,92.08,20.52
1,1,1,21,13,7.98,92.02,20.52
1,1,1,21,14,7.97,92.03,20.52
1,1,1,21,15,7.96,92.04,20.52
1,1,1,22,0,11.02,88.98,21.06
1,1,1,22,1,11.02,88.98,21.06
1,1,1,22,2,11.03,88.97,21.06
1,1,1,22,3,11.04,88.96,21.06
1,1,1,22,4,11.09,88.91,21.05
1,1,1,22,5,10.98,89.02,21.06
1,1,1,22,6,11.02,88.98,21.06
1,1,1,22,7,11.01,88.99,21.06
1,1,1,22,8,11.02,88.98,21.06
1,1,1,22,9,10.96,89.04,21.06
1,1,1,22,10,10.98,89.02,21.06
1,1,1,22,11,11.05,88.95,21.06
1,1,1,22,12,11.01,88.99,21.06
1,1,1,22,13,10.94,89.06,21.06
1,1,1,22,14,10.97,89.03,21.06
1,1,1,22,15,11.01,88.99,21.05
1,1,1,23,0,13.62,86.38,21.61
1,1,1,23,1,13.61,86.39,21.61
1,1,1,23,2,13.59,86.41,21.60
1,1,1,23,3,13.58,86.42,21.61
1,1,1,23,4,13.58,86.42,21.61
1,1,1,23,5,13.59,86.41,21.61
1,1,1,23,6,13.59,86.41,21.61
1,1,1,23,7,13.59,86.41,21.60
1,1,1,23,8,13.60,86.40,21.61
1,1,1,23,9,13.61,86.39,21.61
1,1,1,23,10,13.59,86.41,21.61
1,1,1,23,11,13.62,86.38,21.61
1,1,1,23,12,13.59,86.41,21.61
1,1,1,23,13,13.51,86.49,21.61
1,1,1,23,14,13.63,86.37,21.61
1,1,1,23,15,13.61,86.39,21.61
1,1,1,24,0,15.78,84.22,22.17
1,1,1,24,1,15.77,84.23,22.17
1,1,1,24,2,15.84,84.16,22.17
1,1,1,24,3,15.77,84.23,22.17
1,1,1,24,4,15.79,84.21,22.17
1,1,1,24,5,15.75,84.25,22.17
1,1,1,24,6,15.80,84.20,22.17
1,1,1,24,7,15.82,84.18,22.16
1,1,1,24,8,15.78,84.22,22.16
1,1,1,24,9,15.78,84.22,22.16
1,1,1,24,10,15.84,84.16,22.17
1,1,1,24,11,15.75,84.25,22.17
1,1,1,24,12,15.84,84.16,22.17
1,1,1,24,13,15.76,84.25,22.17
1,1,1,24,14,15.78,84.22,22.17
1,1,1,24,15,15.78,84.22,22.17
1,1,1,25,0,17.70,82.30,22.75
1,1,1,25,1,17.67,82.33,22.74
1,1,1,25,2,17.69,82.31,22.74
1,1,1,25,3,17.69,82.31,22.74
1,1,1,25,4,17.64,82.36,22.74
1,1,1,25,5,17.64,82.36,22.75
1,1,1,25,6,17.65,82.35,22.74
1,1,1,25,7,17.68,82.32,22.74
1,1,1,25,8,17.64,82.36,22.74
1,1,1,25,9,17.67,82.33,22.74
1,1,1,25,10,17.63,82.37,22.73
1,1,1,25,11,17.59,82.41,22.74
1,1,1,25,12,17.66,82.34,22.74
1,1,1,25,13,17.60,82.40,22.74
1,1,1,25,14,17.67,82.33,22.74
1,1,1,25,15,17.69,82.31,22.74
1,1,1,26,0,19.34,80.66,23.32
1,1,1,26,1,19.32,80.68,23.33
1,1,1,26,2,19.26,80.74,23.32
1,1,1,26,3,19.30,80.70,23.33
1,1,1,26,4,19.29,80.71,23.33
1,1,1,26,5,19.30,80.70,23.33
1,1,1,26,6,19.27,80.73,23.33
1,1,1,26,7,19.33,80.67,23.32
1,1,1,26,8,19.27,80.73,23.33
1,1,1,26,9,19.31,80.69,23.33
1,1,1,26,10,19.27,80.73,23.32
1,1,1,26,11,19.30,80.70,23.32
1,1,1,26,12,19.29,80.71,23.32
1,1,1,26,13,19.35,80.65,23.33
1,1,1,26,14,19.27,80.72,23.32
1,1,1,26,15,19.27,80.73,23.32
1,1,1,27,0,20.71,79.29,23.92
1,1,1,27,1,20.64,79.36,23.92
1,1,1,27,2,20.72,79.28,23.91
1,1,1,27,3,20.67,79.33,23.92
1,1,1,27,4,20.70,79.30,23.92
1,1,1,27,5,20.68,79.32,23.91
1,1,1,27,6,20.71,79.29,23.92
1,1,1,27,7,20.70,79.30,23.91
1,1,1,27,8,20.70,79.30,23.92
1,1,1,27,9,20.68,79.32,23.91
1,1,1,27,10,20.70,79.30,23.92
1,1,1,27,11,20.73,79.27,23.92
1,1,1,27,12,20.70,79.30,23.93
1,1,1,27,13,20.67,79.33,23.91
1,1,1,27,14,20.73,79.27,23.92
1,1,1,27,15,20.69,79.31,23.92
1,1,1,28,0,21.96,78.04,24.52
1,1,1,28,1,21.85,78.15,24.51
1,1,1,28,2,21.91,78.09,24.53
1,1,1,28,3,21.89,78.11,24.52
1,1,1,28,4,21.96,78.04,24.52
1,1,1,28,5,21.90,78.10,24.51
1,1,1,28,6,21.95,78.05,24.52
1,1,1,28,7,21.93,78.07,24.51
1,1,1,28,8,21.90,78.10,24.51
1,1,1,28,9,21.87,78.13,24.51
1,1,1,28,10,21.88,78.12,24.51
1,1,1,28,11,21.93,78.07,24.51
1,1,1,28,12,21.92,78.08,24.52
1,1,1,28,13,21.93,78.07,24.52
1,1,1,28,14,21.95,78.05,24.52
1,1,1,28,15,21.97,78.03,24.52
1,1,1,29,0,22.95,77.05,25.12
1,1,1,29,1,22.96,77.04,25.12
1,1,1,29,2,23.05,76.95,25.12
1,1,1,29,3,22.99,77.01,25.12
1,1,1,29,4,23.02,76.98,25.12
1,1,1,29,5,23.01,76.99,25.13
1,1,1,29,6,22.99,77.01,25.12
1,1,1,29,7,23.00,77.00,25.12
1,1,1,29,8,22.97,77.03,25.13
1,1,1,29,9,22.95,77.05,25.13
1,1,1,29,10,22.95,77.05,25.12
1,1,1,29,11,22.99,77.01,25.13
1,1,1,29,12,22.99,77.01,25.11
1,1,1,29,13,22.93,77.07,25.13
1,1,1,29,14,22.93,77.07,25.13
1,1,1,29,15,22.91,77.09,25.13
1,1,1,30,0,24.00,76.00,25.75
1,1,1,30,1,24.00,76.00,25.74
1,1,1,30,2,23.87,76.13,25.74
1,1,1,30,3,23.92,76.08,25.74
